"method","dataset","session","condition","alpha1_strength","events","K","M","T","empirical_nu_base","mean_events_per_actor_mark_per_sec","ring_size","hub_actor","true_ring","n_injected_events","hawkes_sampler_used","seed","heldout_frac","heldout_split_t","train_events","test_events","heldout_loglik","heldout_nll_per_event","heldout_metric_type","field_auc","precision","recall","f1","hub_correct","loglik_final","active_mean","b2_lambda0","b2_lambda1","b2_p00","b2_p11"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","4","0.2","95.82448000000005","2212","414","-671.0506870683059","1.6208953793920433","latent_ctmc_marginal_interval_loglik","","","","","","-2807.8359051146695","0.44015332065088586",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.82448000000005","2212","414","-668.9818799613062","1.6158982607761019","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2836.052563798544","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","5","0.2","95.82448000000005","2212","414","-668.8675214201556","1.6156220324158348","latent_ctmc_marginal_interval_loglik","","","","","","-2808.904734686772","0.40301168615087013",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.82448000000005","2212","414","-670.8061715416007","1.6203047621777795","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2838.9135611544143","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","6","0.2","95.82448000000005","2212","414","-670.5269584675021","1.6196303344625655","latent_ctmc_marginal_interval_loglik","","","","","","-2807.4955768250356","0.40536866804864696",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.82448000000005","2212","414","-669.9399929541455","1.6182125433675012","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2840.1089058520242","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","7","0.2","95.82448000000005","2212","414","-668.815784838673","1.6154970648277127","latent_ctmc_marginal_interval_loglik","","","","","","-2802.8106002905674","0.42678940215553185",,,,
