,,,,,field_auc,field_auc,field_auc,precision,precision,precision,recall,recall,recall,f1,f1,f1,hub_correct,hub_correct,hub_correct,loglik_final,loglik_final,loglik_final,active_mean,active_mean,active_mean,beta0_hat,beta0_hat,beta0_hat,beta1_hat,beta1_hat,beta1_hat,beta_gap_hat,beta_gap_hat,beta_gap_hat,gate_gini,gate_gini,gate_gini,gate_effective_support,gate_effective_support,gate_effective_support,heldout_loglik,heldout_loglik,heldout_loglik,heldout_nll_per_event,heldout_nll_per_event,heldout_nll_per_event,train_events,train_events,train_events,test_events,test_events,test_events
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,session,condition,alpha1_strength,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc-11,Achilles_10252013_5k,real_5k,,B1_static_gates,,,0,,,0,,,0,,,0,,,0,4806.76322543453,0.004164745211658587,14,,,0,,,0,,,0,,,0,,,0,,,0,1561.3118190192413,0.0011513224945131845,14,-1.343641840808297,9.90811096805357e-07,14,3838.0,0.0,14,1162.0,0.0,14
hc-11,Achilles_10252013_5k,real_5k,,B2_modular_hmm_hawkes,,,0,,,0,,,0,,,0,,,0,,,0,0.5828381756341433,0.0,14,,,0,,,0,,,0,,,0,,,0,-34.3990923865405,0.0,14,0.029603349730241396,0.0,14,3838.0,0.0,14,1162.0,0.0,14
hc-11,Achilles_10252013_5k,real_5k,,B3_static_svd,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1282.662483479619,0.0,14,-1.1038403472285878,0.0,14,3838.0,0.0,14,1162.0,0.0,14
hc-11,Achilles_10252013_5k,real_5k,,Proposed,,,0,,,0,,,0,,,0,,,0,5271.815577134322,33.40048932667388,14,1.0,0.0,14,11.523458702461602,0.21542500391774919,14,20.0,0.0,14,8.476541297538398,0.21542500391774919,14,0.1477736133343459,0.0002836432168879621,14,18.699451660552274,0.0025243114300746404,14,1673.0781341413604,22.686172473809606,14,-1.4398262772300863,0.01952338422875181,14,3838.0,0.0,14,1162.0,0.0,14
