method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,heldout_frac,heldout_split_t,train_events,test_events,heldout_loglik,heldout_nll_per_event,heldout_metric_type,field_auc,precision,recall,f1,hub_correct,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,proposed_lr,proposed_lambda_g,proposed_lambda_h,proposed_lambda_e,proposed_lambda_0,proposed_n_inner_steps,proposed_stability_target,proposed_eta_prior_weight_s,proposed_eta_prior_weight_pi,proposed_eta_off_floor,proposed_eta_pi1_target,proposed_eta_beta_prior_kappa,proposed_eta_beta_prior_target,proposed_eta_gamma_prior_shape,proposed_eta_gamma_prior_rate,proposed_eta_gamma_prior_weight,proposed_pi1_init,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score,b2_lambda0,b2_lambda1,b2_p00,b2_p11
B2_modular_hmm_hawkes,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,8,0.2,28.76144,3838,1162,-34.3990923865405,0.029603349730241396,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.5828381756341433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36363636363637,323.25,0.5833333333333334,0.16666666666666666
B3_static_svd,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,8,0.2,28.76144,3838,1162,1282.662483479619,-1.1038403472285878,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,9,0.2,28.76144,3838,1162,1698.3313527570003,-1.4615588233709125,latent_ctmc_marginal_interval_loglik,,,,,,5234.705308580602,11.763165614102535,20.0,8.236834385897465,4.317232497243429,0.002347720511027485,1.0,0.14806954025463637,18.696914061171615,0.0025,0.05,0.05,0.05,0.1,3.0,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.5344184532648546,0.2934162800962048,1.5760721155413264,0.7279071055893458,1.0,0.3281462859188713,0.3264554973538965,0.9602286069721052,0.8565463942524159,1.0,0.23819348074673402,0.2958960959953401,0.7020597967104099,0.7948185767101559,0.9279340641015302,0.2818291845573532,0.30068240635127047,0.8297290826867079,0.7985768302847016,0.9323217465432104,0.35471549696746196,0.18710017691601405,1.0722367358465381,0.4874621034873871,0.6803221282030371,0.17807112492242935,0.2467531981501258,0.530912640945691,0.6730982574000901,0.7858281371758769,0.23019105075070753,0.26817026915899406,0.6828919794766404,0.7218374090225799,0.8427300772803924,0.2163738056552398,0.27008558691389506,0.6416091528437549,0.7295910415345235,0.8517822810652333,0.3094278742062407,0.19376807653339517,0.9339091989814449,0.5109205214480931,0.5964890225170101,0.22974613514629005,0.2787966443038472,0.6798728705457738,0.7505486655202742,0.8762498687246763,0.18577079960858922,0.2480766710651401,0.5536989015419129,0.6753817834360162,0.7884941060612156,0.1451673619697214,0.22141261425658976,0.43537001419467747,0.6090065506892316,0.7110024101155265,0.1469922034637422,0.2079655309217919,0.442202976604208,0.5717604305986046,0.6675183439393622,0.1698095858917571,0.23517105144207687,0.5076468518859548,0.6428503896268414,0.7505143842067236,0.20585689536149285,0.2631784617953256,0.6114174043175168,0.7128298368430375,0.8322139251606884,0.08981022235345146,0.15994677299707233,0.2731721533011494,0.4460866839090109,0.5207968732369137,0.12070814257419346,0.20684244960572837,0.3632257198552478,0.5724491948939626,0.6683224618481873,0.044783896138869274,0.11058489543224054,0.13774811601073741,0.3118702774749042,0.36410202595867686,0.04964073908829232,0.12633065609435923,0.15214493449427532,0.3558510158002633,0.41544861806446115,0.05380347562400605,0.10745319313668066,0.16560960978368372,0.30236579401831765,0.3530057403162839,,,,
B1_static_gates,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,9,0.2,28.76144,3838,1162,1561.311990898039,-1.3436419887246465,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,4806.765970868369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,9,0.2,28.76144,3838,1162,-34.3990923865405,0.029603349730241396,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.5828381756341433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36363636363637,323.25,0.5833333333333334,0.16666666666666666
B3_static_svd,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,9,0.2,28.76144,3838,1162,1282.662483479619,-1.1038403472285878,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,14,0.2,28.76144,3838,1162,1654.1509380904463,-1.4235378124702636,latent_ctmc_marginal_interval_loglik,,,,,,5299.686882468355,11.343637707051068,20.0,8.656362292948932,4.459728583185469,0.002225797485675189,1.0,0.14753437974430428,18.701590355644278,0.0025,0.05,0.05,0.05,0.1,3.0,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.4402145671512879,0.24512064949517753,1.0704755564320636,0.5019613039806174,1.0,0.27084296507742495,0.2683393794736558,0.6542467282289175,0.581019330423365,1.0,0.19654517178576594,0.24280686976556792,0.478253063264203,0.5382333520060845,0.9263604906464917,0.2324548724738985,0.24979828697191667,0.5645048997282743,0.5475136685378746,0.9423329653058597,0.2933805809034056,0.15857595902295488,0.7310140217389917,0.3408752224126762,0.6828871685547773,0.14685416073950477,0.20312676484159956,0.3613781660594858,0.4572702494157941,0.787013831506432,0.1897748659007165,0.21968869742346472,0.46481685345250734,0.4880154437658547,0.8399297892726871,0.17880376855472774,0.2205668829390676,0.43782797072107554,0.4916464761590674,0.8461792068102533,0.2559592965078562,0.16350265672718808,0.6368932048592951,0.35571029117123676,0.6122176536055096,0.18955763277999008,0.22964536019101475,0.46297936151293223,0.510166529406266,0.8780543136740881,0.1531214549266298,0.20390182937611806,0.3767198287389299,0.45813181144549137,0.7884966772304624,0.11978634086778928,0.18229229911848457,0.2964995476898854,0.4137876650729366,0.7121753845460296,0.1211122604357224,0.17118389074668838,0.3007182925655194,0.3884192904331291,0.6685135417957676,0.14011544127533127,0.19366666501312363,0.3457144614187997,0.4368804887959085,0.7519207467289799,0.1698463920818699,0.21680165814383293,0.4163478258611827,0.48459962715654914,0.8340507824471886,0.0741046138795695,0.13151130712089076,0.18603535913707556,0.30268388186757605,0.5209532041679624,0.09966223394330304,0.17025648811135988,0.24751906047194208,0.388841913257103,0.6692409234883284,0.03698003161070571,0.09073139522476929,0.09388145240789086,0.21116039735802453,0.3634309330193207,0.04104346214912742,0.10369796549051707,0.10382607325725236,0.24104557360978035,0.41486670234214124,0.044427150302843665,0.08808901328056915,0.11286876701109094,0.2045579782819801,0.35206742283931775,,,,
B1_static_gates,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,14,0.2,28.76144,3838,1162,1561.3126095462035,-1.3436425211240994,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,4806.76171064837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,14,0.2,28.76144,3838,1162,-34.3990923865405,0.029603349730241396,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.5828381756341433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36363636363637,323.25,0.5833333333333334,0.16666666666666666
B3_static_svd,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,14,0.2,28.76144,3838,1162,1282.662483479619,-1.1038403472285878,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
