method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,heldout_frac,heldout_split_t,train_events,test_events,heldout_loglik,heldout_nll_per_event,heldout_metric_type,field_auc,precision,recall,f1,hub_correct,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score
Proposed,hc-11,Achilles_10252013_perm_seed777,real_permuted,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,8,0.2,28.76144,3838,1162,1645.629470639589,-1.4162043637173745,latent_ctmc_marginal_interval_loglik,,,,,,5216.652261772907,12.550399778427858,19.99616,7.445760221572142,3.429348993614856,0.9384898283868365,0.8000000038195644,0.10416605705659232,19.35153007818744,0.13030211867643704,0.17050449065302906,0.41581849939095633,0.5327370678942045,0.584443995799691,0.26996337321764213,0.19340071629578454,0.8572296078145086,0.5855353494666314,0.6423668258657872,0.1589209329696984,0.1981214030842678,0.5040971521764768,0.6150913010365437,0.6747914485853237,0.20225417443186902,0.2555575141530883,0.6334998885433182,0.7857363383957221,0.8619991228922887,0.17005237892945257,0.21514307719684125,0.5374065026317809,0.666268602720438,0.7309359680733524,0.2590482698738624,0.2830971336165649,0.8064347028274121,0.8592747022009759,0.9426750468650674,0.21401266527318558,0.21391513889125457,0.6765083464788998,0.6559561412222116,0.7196225893584498,0.22907837334740339,0.2805191000811911,0.7135738070996535,0.8572854309920629,0.940492698978779,0.21090633131063607,0.24720135871083565,0.6618335578421948,0.7585639270951365,0.8321893844808053,0.27066290445762087,0.30110623977770157,0.8392128683970875,0.9115280022087725,1.0,0.4476853468202885,0.2703475629402252,1.3976491478139077,0.7852300882961832,1.0,0.2659817769202428,0.24650016446863354,0.8347705637604286,0.7469842128539538,0.8194857547369869,0.30353550672379825,0.25972580074199336,0.949863133498491,0.7803319301831103,0.8560701682145212,0.28080663921584026,0.19767297238681053,0.8907963518316299,0.5969932812091742,0.6549368530232397,0.1371995752889894,0.16230576648299405,0.43861433964387864,0.5063486194836617,0.5554943109336204,0.20906728008205927,0.26319666809449127,0.6537335037237323,0.8080112744828736,0.8864360420359418,0.24026851489799855,0.26373909229830084,0.7512112006084555,0.8039527801405445,0.8819836342848967,0.23350041647865846,0.28514396492739214,0.7266136631355532,0.8705171160988001,0.955008638230974,0.13181194678987476,0.16731758544039427,0.42092138009535723,0.5225948349449184,0.5733173678467264,0.2728986623346274,0.299863356482988,0.8463978672943643,0.9072450836821676,0.9953013856774265
Proposed,hc-11,Achilles_10252013_perm_seed777,real_permuted,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,9,0.2,28.76144,3838,1162,1646.9084268202887,-1.4173050144752914,latent_ctmc_marginal_interval_loglik,,,,,,5214.1058295811945,12.48517635613085,19.99616,7.5109836438691495,3.3537197563324734,0.9178638547232212,0.8000000007028288,0.10322382031539701,19.363403701553533,0.1306820649009216,0.17254119156472453,0.4170667753261158,0.5394353056510642,0.5850527178410055,0.27060028569401295,0.19452458425154773,0.8594854517353758,0.5892985942332774,0.6391327014829821,0.15928126610652732,0.19863042836240918,0.5054702281596509,0.6170636187063452,0.6692456786254124,0.2026160739662093,0.25117443766414527,0.6355974463356397,0.7727385104541341,0.8380852365159046,0.17007583442129837,0.21293992554087898,0.538026297371176,0.6599153095391274,0.715721127902028,0.26025700649445127,0.279451302258512,0.8113104234693457,0.8485871477544026,0.9203480230487594,0.2132037060996407,0.2126732973730226,0.6745055572378069,0.6527609141331664,0.7079617201789559,0.2297065686614394,0.2797403574156302,0.7160240353874028,0.855441417177814,0.9277819245990878,0.21108952851052987,0.24941197238113086,0.6624365622074103,0.7658767778317541,0.8306432406402797,0.2719692349702285,0.30442394902209013,0.8431219236859182,0.9220285440972203,1.0,0.4455161623672679,0.2717268209303952,1.3912220072114627,0.7902406442539469,1.0,0.26535154135738,0.2487170612294146,0.8328723367420676,0.7543420686672593,0.8181330973932626,0.30249303141247835,0.25958168265768383,0.9471444827787247,0.7806070587858976,0.846619189593754,0.27962380170609247,0.19904267361419786,0.8872881880194476,0.6017486463179358,0.652635593735465,0.13754214390604222,0.16348932559490115,0.43982776918445804,0.5103587071187108,0.5535172532195464,0.20951999417910666,0.2639305828672274,0.6554112217357156,0.810711850498389,0.879269796676605,0.24133078846323713,0.2657816276264333,0.7546070765706143,0.8105520112973514,0.8790964406541034,0.23395705008194972,0.28128867692510817,0.7290296140442508,0.8592832279023079,0.931948618514465,0.13215926735947436,0.16860425455488923,0.42214246912926795,0.5269650985146883,0.5715279661224069,0.2741702430867936,0.29917753245670264,0.8509601180051564,0.905594531402215,0.9821762430239117
Proposed,hc-11,Achilles_10252013_perm_seed777,real_permuted,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,7,0.2,28.76144,3838,1162,1720.9171491632915,-1.480995825441731,latent_ctmc_marginal_interval_loglik,,,,,,5243.634474326045,13.514446423977681,19.99616,6.481713576022319,2.8528774871632225,1.155883891106564,0.922994715234399,0.10509464363191223,19.338582750225683,0.09402277105294368,0.12291172399816865,0.2144198051551738,0.27504228205177356,0.5778360347398048,0.19454625569798834,0.14107577160925303,0.4412321548002047,0.3058597193754188,0.6425803556896491,0.11496506271360235,0.14083641151622406,0.2607615900050572,0.31311598771058335,0.657825042035766,0.14430548625396614,0.17702255585019347,0.3236965968109005,0.3899668464868455,0.8192809286374664,0.12131206490882797,0.14948750224396332,0.2744286458101421,0.33168336262398745,0.6968332200346279,0.18765858653847237,0.1990588713250278,0.41805884701074425,0.4325226469663761,0.9086863641248051,0.14904294427081613,0.14889676096996704,0.3372134475244399,0.3275206798437704,0.6880878442558321,0.16593457204104714,0.20141945580150547,0.36938346292796315,0.44069606296854613,0.925857885018759,0.15182985693025766,0.1799188739552888,0.34024556123545385,0.3954111417700187,0.8307188427462114,0.19799475043634981,0.21978581378212053,0.4382372698907213,0.47598672550012044,1.0,0.3142094952720803,0.19459595570254679,0.7009794341088432,0.40574782606016585,1.0,0.18970620334330038,0.1793216758483375,0.42521729539853526,0.3893861108607973,0.8180608617848918,0.21426090690864583,0.18331266524977857,0.47967232435130885,0.39493219559511406,0.8297126252421384,0.1985830653768964,0.14323744881786493,0.450086266855498,0.31014846069935237,0.6515905677274478,0.09868873731115216,0.11711361117783764,0.22546148151287687,0.2616951211277111,0.5497949987003259,0.15081244507499478,0.1905564837696832,0.3368856999959801,0.4189341461703992,0.8801382974078196,0.17449864330158715,0.19330935865135332,0.3894425059622235,0.421792897218609,0.8861442444123419,0.16809294700598032,0.19752428499241656,0.37465741937688285,0.4318694284753449,0.9073140180990942,0.09494706132472157,0.1184521207315708,0.21682440834911937,0.2649877401188988,0.5567124583999176,0.19701731833902886,0.21524860395890047,0.43669079881187384,0.4662956342701095,0.9796399968511128
