,,,,,field_auc,field_auc,field_auc,precision,precision,precision,recall,recall,recall,f1,f1,f1,hub_correct,hub_correct,hub_correct,loglik_final,loglik_final,loglik_final,active_mean,active_mean,active_mean,beta0_hat,beta0_hat,beta0_hat,beta1_hat,beta1_hat,beta1_hat,beta_gap_hat,beta_gap_hat,beta_gap_hat,gate_gini,gate_gini,gate_gini,gate_effective_support,gate_effective_support,gate_effective_support
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,session,condition,alpha1_strength,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_10,crypto_spikein_compact,3.0,Proposed,0.9161490683229814,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,345.72244058750124,,1,0.5033880956544481,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.10114245691597001,,1,19.289909339336017,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_11,crypto_spikein_compact,3.0,Proposed,0.8770370370370371,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,468.673483598996,,1,0.5032475277655807,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.10850590716827702,,1,19.226149845141023,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_7,crypto_spikein_compact,3.0,Proposed,0.8850931677018633,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,315.57938681103326,,1,0.515148775062947,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.104093240483627,,1,19.25674838105325,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_8,crypto_spikein_compact,3.0,Proposed,0.9274074074074075,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,245.49275784006858,,1,0.49025117119325873,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.10383279365455556,,1,19.25602607280008,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_9,crypto_spikein_compact,3.0,Proposed,0.8740740740740741,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,379.42848014431837,,1,0.4827031515416597,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.10419951021223173,,1,19.246847674709173,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_10,crypto_spikein_compact,4.0,Proposed,0.9688888888888889,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1163.0279431618067,,1,0.5614595333747442,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.08267738724684848,,1,19.48608884899826,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_11,crypto_spikein_compact,4.0,Proposed,0.9451851851851852,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1206.8993318768742,,1,0.5609067307696166,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.09297730321454889,,1,19.367121911522293,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_7,crypto_spikein_compact,4.0,Proposed,0.9580745341614907,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1134.7437995446166,,1,0.5230181571965972,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.08901946880925204,,1,19.445039146691443,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_8,crypto_spikein_compact,4.0,Proposed,0.9239130434782609,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1017.1029633821819,,1,0.5103986353600372,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.10225610922365069,,1,19.270890010168028,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_9,crypto_spikein_compact,4.0,Proposed,0.9259259259259259,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1182.923028331983,,1,0.5307733893141381,,1,0.35354950510987415,,1,0.49999616,,1,0.14644665489012587,,1,0.09120455970516539,,1,19.425597643338435,,1
