method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,heldout_frac,heldout_split_t,train_events,test_events,heldout_loglik,heldout_nll_per_event,heldout_metric_type,field_auc,precision,recall,f1,hub_correct,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,proposed_lr,proposed_lambda_g,proposed_lambda_h,proposed_lambda_e,proposed_lambda_0,proposed_n_inner_steps,proposed_stability_target,proposed_eta_prior_weight_s,proposed_eta_prior_weight_pi,proposed_eta_off_floor,proposed_eta_pi1_target,proposed_eta_beta_prior_kappa,proposed_eta_beta_prior_target,proposed_eta_gamma_prior_shape,proposed_eta_gamma_prior_rate,proposed_eta_gamma_prior_weight,proposed_pi1_init,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,1,0.2,95.82448000000005,2212,414,-671.0441813279872,1.6208796650434474,latent_ctmc_marginal_interval_loglik,,,,,,-2803.739102599114,0.35355261349659384,0.499999232,0.14644661850340618,0.12446517679772787,0.22550667125383897,0.4037450590007154,0.18280351231928882,17.978685819637963,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.005474088790593232,0.0016072804960906297,0.004153952842508754,0.0014563010768406028,0.05088213891427596,0.07877948979070752,0.00623219664216095,0.059530052615110754,0.005329964573049858,0.7291889247608468,0.06573627988661213,0.09352367968467892,0.04569660495956227,0.08083143027867865,0.5597417904385704,0.0014830002787027659,0.059692192856648764,0.0010656819406662686,0.05424951860211433,0.3643055147627227,0.05289543580996771,0.003415344702250395,0.04007316872236661,0.002982121986334503,0.4908598183399765,0.07075213787231009,0.10287959142882255,0.048723428863095296,0.08855935252937913,0.5968176264356888,0.07592511357209551,0.0886890527079863,0.05303367921461757,0.0760253549484159,0.6496142674801281,0.005735795400097719,0.16438833624842877,0.0037053153796747645,0.14891215313456838,1.0,0.08171539286988813,0.024628145311047015,0.060707700339452234,0.021012672281190914,0.7436140367863929,0.0847432334202842,0.0686724881172856,0.060364859809623944,0.058448590602765284,0.7394145525540126,0.10942691540151747,0.020064776343221957,0.08163872296145325,0.016733830310660183,1.0,0.11313397756300328,0.17795039726061934,0.07202469301198972,0.1479504149586927,0.9935415736349835,0.09555492456713362,0.0019716784607666103,0.07248549308366899,0.001663331350759024,0.8878812707285234,0.08723541964400078,0.001107185069601884,0.06622835208985262,0.0009404149947912874,0.8112369925375139,0.05494978903807363,0.024436718161024145,0.040828678015530924,0.021303343128190506,0.5001141190658838,0.005045165588652155,0.08849970842365235,0.0035247295093142404,0.08021227574371577,0.5386549993084166,0.06065468959460511,0.031358563031881975,0.04477793274849104,0.02721275153729814,0.5484888925765473,0.08476442246609367,0.008496979332774868,0.06391800474887682,0.007231685827530679,0.7829373418672474,0.08981942309820865,0.009651254384559457,0.06765674683069212,0.008180311168712186,0.8287335271356107,0.0888046839539121,0.11912819867601157,0.06015496096083333,0.10105693961369343,0.736843482831502
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,5,0.2,95.82448000000005,2212,414,-668.8675214201556,1.6156220324158348,latent_ctmc_marginal_interval_loglik,,,,,,-2808.904734686772,0.35355261349659384,0.499999232,0.14644661850340618,0.1236059377016562,0.22490431974816943,0.40301168615087013,0.18038116326514553,18.025801500317026,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.005573495216707236,0.0015696694648215108,0.004222082354494186,0.0014101417209100796,0.054115734148241716,0.08008039149239013,0.004909506258841378,0.06047946773598007,0.004156906113708361,0.775184025944837,0.0642532516835399,0.0940932741038743,0.044552981956007716,0.08070445839699844,0.5710493364669502,0.0014639730653409821,0.06231879033570914,0.0010473228679694986,0.05616572635915672,0.3732061174360643,0.05281851505556716,0.0030848274717619893,0.03995397426172302,0.0026703057317873776,0.5121024337698225,0.0675266788727459,0.11212932940212209,0.0459773009121391,0.0959210852830663,0.6373697651452266,0.07511698046235084,0.08621559985922958,0.052491771012257195,0.07329796468927398,0.6728032488627296,0.004945376623413093,0.16743955666259422,0.0031778494657063684,0.15049519216088073,1.0,0.08137714269102883,0.02746638222756351,0.06018001830987196,0.023232373659166847,0.7713458901214416,0.08494294531527395,0.08088366802272072,0.05967332033115348,0.06821487637400733,0.7648513855600625,0.10452435213333788,0.017555065755853645,0.0780194969346335,0.014566972603980068,1.0,0.11502316115381808,0.16943010798065744,0.07375001258863625,0.13936242221428885,0.9452766998795914,0.09525601745605713,0.002113738729669024,0.07212089170553806,0.001767570349506234,0.9243957541274918,0.08723206037383019,0.0011689430323454067,0.06610942559991444,0.0009839526931358824,0.8473449355268518,0.053855339400289554,0.013724098824822,0.04034148420450398,0.011870561765432691,0.5170692684458474,0.0051114886179011885,0.08016540145810606,0.003593512801200421,0.07204270666069934,0.47870437338413463,0.05990254376362301,0.03833956313800757,0.04385635966589172,0.032999439499143884,0.5621205133203508,0.08457264342898851,0.008990282985393583,0.06363101227540316,0.007584418260139594,0.8155783461243624,0.08904726751259343,0.016911395366684335,0.06651133418950819,0.014214121099205789,0.8524963221082147,0.08903607934626134,0.10593284278513937,0.061010296940840175,0.08903872047888407,0.7819878278881492
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,6,0.2,95.82448000000005,2212,414,-670.5269584675021,1.6196303344625655,latent_ctmc_marginal_interval_loglik,,,,,,-2807.4955768250356,0.35355261349659384,0.499999232,0.14644661850340618,0.12529764240642252,0.22406684243386274,0.40536866804864696,0.17650395103057814,18.07649251380721,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.005611178154259083,0.0015151483270765792,0.004324200006907288,0.0013700598417721321,0.054422671839093786,0.07909699981130201,0.00906624650811971,0.06054201015441858,0.007735857663087402,0.7619578062647296,0.06445420966544775,0.0943230911251789,0.045522737676400304,0.0814379082874486,0.5729311802928828,0.0014174505884828848,0.05969860126948001,0.001035178902037144,0.054152497743051586,0.3622014751235352,0.05334868252155875,0.003375879982585985,0.04104412524679517,0.002940841011259557,0.5165651347442147,0.06877805456672195,0.11211586559385676,0.047728174273758396,0.09646443087203595,0.6452067885139586,0.0766578840712725,0.08354634093329899,0.05471751722294833,0.07142460540007287,0.688653040774653,0.006522239832766793,0.16547032178104673,0.004285022624384162,0.14950932412570084,1.0,0.08226949414636892,0.026552381976177764,0.06197387804525084,0.02259861599136667,0.7799787294910429,0.08582143540266793,0.0726119196263654,0.06190670268446497,0.06161709785029705,0.7791332869560347,0.10464801410607336,0.017907600925300936,0.07945585655353764,0.014962952918939721,1.0,0.11494293713333238,0.16807630891105593,0.0753025727977113,0.13924360288622764,0.9477284125301972,0.09501290635173518,0.0023637312323894826,0.07316215571624568,0.001990841219196462,0.9207899692950734,0.0877386982124442,0.0010319992961192843,0.0676393556520179,0.0008743386562079031,0.8512821909665307,0.05455382221224948,0.0193208488382043,0.041368227908895425,0.016813937424001286,0.5206441627247623,0.004229258608242276,0.08667766478672143,0.0030093876501728132,0.0784572467921322,0.5247649084826898,0.06053721715130787,0.03260902729561641,0.04534693582698581,0.028243675768528542,0.5707186077143462,0.0852609964358942,0.002788002826924194,0.06562737626071778,0.002366947000537337,0.8259602137256908,0.08911809297228683,0.03565602312201944,0.06656586780128677,0.030175725818442526,0.8377716972497107,0.09008082111537954,0.1185854559956172,0.06210693778795152,0.1002837135225816,0.7816533668113393
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,2,0.2,95.82448000000005,2212,414,-668.9657913128979,1.6158593993065167,latent_ctmc_marginal_interval_loglik,,,,,,-2800.6575132717544,0.3535532351739378,0.49999984640000006,0.14644661122606228,0.14362678387865824,0.21740368868338078,0.44090350858057614,0.19944143678132797,17.691542005633845,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.003237876718131751,0.0007617517295875946,0.0023980810461012862,0.0006914552709601537,0.028927273444065343,0.07887618406336402,0.002525177417055011,0.05832080978628591,0.0021597396105230717,0.7035050024309976,0.06811202318322457,0.08693632398424231,0.046377990414705014,0.075006239525167,0.5594426479845291,0.000888766382923887,0.04983162765299122,0.0006280159221013172,0.045314264265120564,0.3100545358572518,0.04561130205252348,0.001444027583375081,0.033760889116670204,0.0012683681560870363,0.40724664947434813,0.0722579067536692,0.10368125525835584,0.048365415575017896,0.08915355936711494,0.6100168659445677,0.07767673515637027,0.09189557039572582,0.05262140413228762,0.07867660321440356,0.6347549215736815,0.005514130042565276,0.1612864289348557,0.003470533104266636,0.1461493351156234,1.0,0.08269815617974662,0.011118316688837856,0.060651565417549284,0.009479978937004318,0.7316201512440302,0.08723040689995934,0.09641085595850168,0.0588197248682927,0.08190107618139679,0.7095232531594465,0.10849393746162257,0.009788994813307625,0.0796807942578812,0.008171536886544949,0.9611635634606023,0.13157802644028715,0.16027316071590614,0.08290034837670715,0.13122921678857966,1.0,0.09388430637665149,0.0010880670477788432,0.06951086295620972,0.000919299911695688,0.8384869824713603,0.08493635771741304,0.0004957207800475339,0.06292602645037851,0.0004219094959535883,0.7590562365846353,0.049725620763854624,0.007637175883394823,0.03658928727192609,0.006686376028581232,0.4413646985614687,0.0023593551767668304,0.09415801848517508,0.001594686766077247,0.08552771007479024,0.585207657681963,0.0558641287172571,0.02687933286397259,0.040364949246019834,0.023418699477354116,0.48690928369320746,0.08378930576803004,0.0035544555489951113,0.0618952250688124,0.003028031726074964,0.7466220140300804,0.09173349214354282,0.0054987151609451335,0.06764107813215647,0.004654037421931428,0.8159323749134191,0.08834014266136066,0.15399387576783607,0.05604267099244619,0.13070292144698603,0.8943107496423627
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,3,0.2,95.82448000000005,2212,414,-671.560512525161,1.622126841848215,latent_ctmc_marginal_interval_loglik,,,,,,-2808.945543079322,0.3535532351739378,0.49999984640000006,0.14644661122606228,0.14522795626070426,0.2187188769798979,0.44261950323089244,0.19455038741349595,17.76343150381898,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.003359493271171819,0.0008095769335527178,0.0024691741453450565,0.0007328115633299966,0.031118946486055385,0.07724959896674734,0.0034450078149886585,0.05663622187574824,0.0029419801447152045,0.7137850366068338,0.0668032995111215,0.08994725401818339,0.04497191892965946,0.07746791884387363,0.566780087660331,0.000831939919718708,0.05364785895526154,0.0005810137951753694,0.04865638940545097,0.30855075369121676,0.046277930374548124,0.00168977759219644,0.033985813755688765,0.0014792494913233828,0.42832245005567565,0.07184663702566443,0.11279902918125306,0.0472324145388163,0.09674309564972158,0.6134889054015783,0.07726799599206222,0.08409647867471134,0.05233136672779684,0.07181435017424229,0.6595310435331299,0.004209047104732645,0.174323346871388,0.0025874401288818304,0.15769330919912133,1.0,0.08177136326578763,0.01912896110263087,0.059064403082416644,0.016274092924075275,0.7443873500042957,0.08909559560487319,0.0685234674050568,0.061305757050695936,0.057955840821978445,0.772635083898109,0.1088466537253383,0.009480792134150269,0.0793463283357459,0.007888706221504749,1.0,0.1272097751523414,0.16652000717249665,0.07888754006683983,0.13643661504730648,0.9942179017160725,0.09430888285490407,0.001150710066590589,0.06929256932530577,0.0009690575266038266,0.8732927002255394,0.08564055637528484,0.0004578608485550201,0.06296737220941834,0.00038834593045059055,0.7935763825514184,0.04989134388695517,0.009961054738321073,0.036354417325910125,0.008694961886995494,0.45817390783452655,0.002434834024452055,0.09929525161694477,0.0016233398886105024,0.08994422481691709,0.5703743885756332,0.057654104064683895,0.023970426319615677,0.04145034525237413,0.020796593201798587,0.5223977734291777,0.08393164659594782,0.002625671689634856,0.061585914293143335,0.0022300755963495407,0.7761658993538909,0.09133793596369344,0.0039154240200000665,0.06693528149414257,0.0033052181490120882,0.8435838544527575,0.08929610731732462,0.13539564284458894,0.057300139933415345,0.11449593556035974,0.726067175214037
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,4,0.2,95.82448000000005,2212,414,-671.0506870683059,1.6208953793920433,latent_ctmc_marginal_interval_loglik,,,,,,-2807.8359051146695,0.3535532351739378,0.49999984640000006,0.14644661122606228,0.13999423011332204,0.2133597530318805,0.44015332065088586,0.19672210674763835,17.73719337511414,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0032389165175170966,0.0008561144336040834,0.00231968790695753,0.0007607208918223503,0.03046169568606389,0.07624804797117367,0.0030085983405053673,0.05449528782739666,0.0025212027939579573,0.7156216442494957,0.06531108336205994,0.08828582385543177,0.042816429410196574,0.07465033343103,0.5622571205140672,0.0007788653625588717,0.05365638179676856,0.0005293261481931931,0.04777139669022746,0.3219966682813358,0.046605785771876934,0.0016645112535136055,0.03335345345317449,0.0014289802683333166,0.4379911392918684,0.06913583174682739,0.1048422124908312,0.04453413661862855,0.08837378333300966,0.5956715894485659,0.07597707072257609,0.08936192553729053,0.04975338657525998,0.07490338460353188,0.6533519085308634,0.0037049727248277087,0.16702615802928972,0.0022267551414998383,0.14835990988729272,1.0,0.08173966519302656,0.016509771280969848,0.0576552488552812,0.013772090682062038,0.7571176450358648,0.08643860674270795,0.06730733281344811,0.057927785033116505,0.05592545182633186,0.7606965377342152,0.10741212039928344,0.01134545057283232,0.07615097763644124,0.009261928144440656,1.0,0.12077561776312856,0.17289459720229539,0.07209734802618051,0.1395476816417325,0.9467685151776579,0.09438213810530846,0.0015424669801656049,0.06755366430017448,0.001273175954041177,0.8871017339092886,0.08547818392764964,0.0004938690415796159,0.06124279596418223,0.0004107088036961264,0.8042286240442846,0.0494673101180136,0.008503456734354287,0.03516867153614165,0.007283237276346495,0.46182823422232805,0.0024942174187647707,0.07995354944062227,0.0016496340198871337,0.0710862113526828,0.4791470378128846,0.05655386464546468,0.02291683884443329,0.03963934194573746,0.019517595992106358,0.5205362186547751,0.08386099325559304,0.0014453244470514497,0.06002815379459238,0.0012035241711387803,0.788278176561013,0.08963063533477547,0.0038752977756500656,0.06400474812090555,0.003211361234034434,0.8404980488428655,0.08595449607389782,0.13863365754010654,0.05335242119019713,0.11523657452632567,0.7767366171485919
Proposed,binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,2626,20,2,119.78060000000005,0.5480854161692292,0.5480854161692292,4,0,"[0, 1, 2, 3]",0,False,7,0.2,95.82448000000005,2212,414,-668.815784838673,1.6154970648277127,latent_ctmc_marginal_interval_loglik,,,,,,-2802.8106002905674,0.3535532351739378,0.49999984640000006,0.14644661122606228,0.13773603081317848,0.2214662394265348,0.42678940215553185,0.19684194230618313,17.727811891878595,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.003449657488890049,0.0008459519817529875,0.0025272930035821813,0.0007719628028823409,0.030337816791788017,0.07640139003383824,0.0030904163273929165,0.05585511076009131,0.0026638523632692875,0.670488983557848,0.06869654601877773,0.08698867897088021,0.04622775019929133,0.07544779594643869,0.5549214176016842,0.0008858621244142956,0.052159999010838384,0.0006175134139048698,0.04769189628260359,0.30216089060073154,0.04716976421066778,0.0016121999569964991,0.034534156631654045,0.0014223335945814392,0.4145506340044609,0.07364402171777662,0.09970412291918068,0.04890627917381084,0.08613292035251392,0.5870746824527678,0.07746794789194672,0.0881701123847351,0.05206635541654184,0.07593615331205798,0.6250084772142653,0.004874395523597536,0.17314431525118215,0.00298902340594049,0.15783609913177868,1.0,0.08299302025561112,0.00977633343650707,0.060287315052589864,0.008382621443731633,0.7236934998600771,0.0874498640714127,0.06498711863087356,0.0601800666661277,0.055520265929623086,0.7224060820992191,0.11497513226680973,0.012563811382631487,0.08330503875500629,0.010493504991971398,1.0,0.12578915708156066,0.17552621478210556,0.07692776148851799,0.14529142664281608,0.9234466802753266,0.09565711217217761,0.0010529595147646602,0.0700730381853391,0.0008935807518034272,0.8411620621343027,0.08562665954583877,0.000515255148547622,0.06275491263087456,0.0004408483003867866,0.7533147282414924,0.050746721821117065,0.010414252464615852,0.03684254165186927,0.009162377619501613,0.44226066276999587,0.002429485462721844,0.09496350100603063,0.00162153655903841,0.08673031474301644,0.549496060914459,0.05797526123557289,0.023067894459043167,0.0415813478011791,0.020178109095034872,0.499145651002776,0.0844572805068288,0.003039612363947521,0.06175216747003926,0.002603115771135506,0.741277699319577,0.09102385204496849,0.009467552705333544,0.06614191074264715,0.008064740005700503,0.7939725103203591,0.08827555360595415,0.14673335582686664,0.05574411111773888,0.12527131104493722,0.7936797205077094
Proposed,binance_vision,ftx_k20_q99_minutes_nov07_0000_early,real_crypto_window_sweep,,7053,20,2,119.98278333333316,1.4695858447468944,1.4695858447468944,4,0,"[0, 1, 2, 3]",0,False,1,0.2,95.98622666666654,5581,1472,-358.1858889211622,0.24333280497361562,latent_ctmc_marginal_interval_loglik,,,,,,-1587.9422968676558,0.005000004608,0.49999996928,0.494999964672,0.13750847790320578,0.12154806063794452,0.5678798687912183,0.19265567473716216,17.74726014164707,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0004070383389357377,0.02597981751276761,0.00021645090153311867,0.015817372984008118,0.2649145480786031,0.04389823060230419,0.0005432112288280359,0.02411799036854568,0.0003143537847655532,0.4869785644757262,0.00021566682247164005,0.07679216982665257,0.00010709485337161894,0.04676440839164432,0.7832256423213224,0.0002662636926558168,0.08677730476165324,0.00013037306453916002,0.052842431337103896,0.8850223631444151,0.0007544623391556112,0.09567935143897432,0.00036475098414791914,0.05822956981146987,0.9752479243559004,0.0032158062802091695,0.043615303369108335,0.0016707789809138921,0.026469834616023903,0.4433254676430116,0.07307454503504304,0.044301677448068476,0.037931353311889154,0.024741188817007584,0.7658911751012203,0.001571738208509418,0.09819886689631278,0.0007571134416088746,0.05970745320983628,1.0,0.08274612847044083,0.0014000495662934876,0.04541183041304593,0.0007724796131062441,0.9169332787196791,0.0673220608989699,0.005198231315928084,0.03676860052747857,0.002923889344031227,0.742413444447057,0.06287497735420501,0.08205799347484435,0.030992313476163554,0.04640684212335518,0.7772370052405795,0.0862013586558936,0.04827037263861443,0.04450939141504942,0.02651835474675938,0.8987116756318695,0.0019174139878794835,0.0014524218803446671,0.0010522059350569627,0.0008827832616191906,0.021245623203131614,0.03452455623808405,0.06168759923144732,0.01750393743280209,0.036098408150872174,0.6045879736991575,0.050406394807526796,0.02302991303350311,0.026907298065379667,0.013223365029281018,0.5432988895661959,0.08161245884366844,0.07544628923937965,0.040602391459954396,0.041689787516673425,0.8198234598035609,0.09035568463595048,0.002394804015545449,0.04952577408517097,0.0013087481846638866,1.0,0.060349211660865466,0.01690316862784195,0.03247171630514883,0.00958903661490527,0.6556528778188552,0.05440933771979155,0.001810873722795784,0.029845004074513865,0.0010347612923229687,0.6026156001759511,0.08265481959447579,0.0016321120961430861,0.04534936794315577,0.0009006682100199604,0.9156720673394644
Proposed,binance_vision,ftx_k20_q99_minutes_nov07_0000_early,real_crypto_window_sweep,,7053,20,2,119.98278333333316,1.4695858447468944,1.4695858447468944,4,0,"[0, 1, 2, 3]",0,False,2,0.2,95.98622666666654,5581,1472,-356.80714701306977,0.24239615965561806,latent_ctmc_marginal_interval_loglik,,,,,,-1590.17822600685,0.005000004608,0.49999996928,0.494999964672,0.13789122433894194,0.12214461622472064,0.5670089880381942,0.19249616474739328,17.752492550532846,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.00040409987629223376,0.026332801624745217,0.0002150224172040954,0.01602665041943296,0.2697173135564931,0.043651994197845996,0.0005450723668236544,0.024007708506277817,0.00031539532488904275,0.48495560469649845,0.00021509499804049537,0.07726285559966262,0.00010686084726915385,0.0470328206340591,0.7915294648856291,0.0002656850136203207,0.08647450985706874,0.0001303018132698201,0.05263883410335992,0.88587474934182,0.0007483250445091735,0.09582199929457755,0.00036215346785106885,0.05829500845029585,0.9810642062736875,0.0032765923430000707,0.043820935356241195,0.001703871840168943,0.026583246427271848,0.4473774384746133,0.07303777336465403,0.044212335197638654,0.037958450175812425,0.024681941362309445,0.766760524168287,0.0015948775993582542,0.09776473658925962,0.000769678523271471,0.05942017665868577,1.0,0.08272475523537606,0.0014070457709392343,0.04544681965699103,0.000776062666567002,0.9180255542725204,0.06676208419806381,0.004985504578261952,0.036512326312918224,0.0028049326227038963,0.7375488285909058,0.06317287830631538,0.08210517781163526,0.031173567823004393,0.046397651568508246,0.7808400139067249,0.08613828144141819,0.04818261943647534,0.0445299405676542,0.026461578669033974,0.8995046007593334,0.0018871411183636925,0.0014612038024573637,0.0010366939498372314,0.0008877762280806879,0.020941213160641754,0.0345856223547929,0.06184904391952635,0.01755227989593029,0.03617583772571975,0.6088140385969676,0.05033783337497761,0.024248567093835362,0.026856817342560332,0.013918592867742977,0.5425075904757419,0.08220104446884949,0.07511471112388646,0.04096030810913524,0.04145667544680732,0.8273980410261278,0.09020149296295324,0.0022140095778006236,0.049504961431062644,0.001209654360428587,1.0,0.060422367456471934,0.01685098451740129,0.03254874233811863,0.009554618565160444,0.6574844499867729,0.05414467393474448,0.0018478665180794544,0.029730068309965923,0.001055805083498512,0.6005472471959414,0.08267225886782295,0.001500185025181055,0.04541415469082452,0.0008274688345720928,0.9173657221017189
Proposed,binance_vision,ftx_k20_q99_minutes_nov07_0000_early,real_crypto_window_sweep,,7053,20,2,119.98278333333316,1.4695858447468944,1.4695858447468944,4,0,"[0, 1, 2, 3]",0,False,3,0.2,95.98622666666654,5581,1472,-357.8228408010736,0.24308616902246846,latent_ctmc_marginal_interval_loglik,,,,,,-1587.7869642841101,0.005000004608,0.49999996928,0.494999964672,0.1351801574750498,0.12107604368430003,0.5650593057014249,0.19400271974797234,17.7194047879557,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.000416639363796591,0.024681405349827802,0.00022252055166257462,0.015076071523812552,0.2484125536004854,0.04395970643464174,0.0005350985807740553,0.024212756401652668,0.00031070430128108057,0.4877766177989793,0.00021623546854609684,0.07721603185660081,0.00010760865033475064,0.04717782568508791,0.7773619363134676,0.0002676879713279397,0.0880345364679205,0.00013121092485105518,0.053785708649172474,0.8862418310797323,0.0007604840350145713,0.09704548400974164,0.0003680170592784239,0.059253760402243505,0.9763404152536339,0.0033405354221280577,0.044063830973375184,0.0017391721972537,0.026824571148176435,0.44199579496763225,0.0731006293750037,0.04477652148549381,0.03802295170422975,0.02509503369665815,0.7659890709410184,0.0015581460206936253,0.09948372534670832,0.0007513434420454089,0.060689652375857606,1.0,0.08286327602262623,0.0013867648167386608,0.045593088699589654,0.0007677854777574431,0.9184928073441792,0.06710009400925565,0.004520082311098726,0.03677435486314652,0.0025521151084804596,0.740835538892247,0.06319681502458965,0.08102542091006534,0.03128335772097684,0.0459686791197274,0.7574384976707129,0.08638125522408723,0.04749317744060482,0.044768272628849054,0.026180921093761304,0.901876525140777,0.0019610196724324748,0.0013171425130574848,0.0010790717376375288,0.0008031267578641609,0.021738374343508244,0.034743092062657265,0.06278414980706817,0.017637860163942753,0.036857928719768646,0.6073181716629961,0.05076794289374593,0.024596102381642643,0.02711735262740881,0.014165263326122205,0.5462909851666825,0.08275790840825986,0.07433821340765868,0.04134978937458363,0.04116558935660761,0.8330096777605166,0.0902931252682615,0.002070424665582835,0.04963902638652339,0.00113574231627567,1.0,0.06080431978209132,0.016516813663293065,0.03281779314132337,0.0093978869291814,0.6611288643290785,0.05441781311068852,0.0017750661205993869,0.029925965163830108,0.001017790996634396,0.602871718933528,0.08275540852099658,0.0015181086669513672,0.0455253359302378,0.0008406923848873618,0.9171278980322138
