,,,,,field_auc,field_auc,field_auc,precision,precision,precision,recall,recall,recall,f1,f1,f1,hub_correct,hub_correct,hub_correct,loglik_final,loglik_final,loglik_final,active_mean,active_mean,active_mean,beta0_hat,beta0_hat,beta0_hat,beta1_hat,beta1_hat,beta1_hat,beta_gap_hat,beta_gap_hat,beta_gap_hat,gate_gini,gate_gini,gate_gini,gate_effective_support,gate_effective_support,gate_effective_support,heldout_loglik,heldout_loglik,heldout_loglik,heldout_nll_per_event,heldout_nll_per_event,heldout_nll_per_event,train_events,train_events,train_events,test_events,test_events,test_events
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,session,condition,alpha1_strength,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binance_vision,ftx_k20_q99_minutes_nov06_1200_quiet_anchor,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,-2805.769853695319,3.3210521931250208,7,0.42322730683115983,0.018685306774744264,7,0.35355296874079034,3.323005180261494e-07,7,0.4999995830857143,3.284106140821176e-07,7,0.14644661434492395,3.889903939580979e-09,7,0.1896063571233797,0.009373862220839985,7,17.85727980145825,0.16261017128367442,7,-670.1187767086691,1.1946302129267146,7,1.6186443881851906,0.0028855802244606285,7,2212.0,0.0,7,414.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov07_0000_early,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,-1588.968874890278,1.0578887518628355,7,0.5625921290235367,0.0048423916949365845,7,0.005000004608,0.0,7,0.49999996928,0.0,7,0.494999964672,0.0,7,0.19527240335369198,0.0025739152630748817,7,17.695258352319815,0.05226151350677383,7,-357.5882816871367,0.7786633166633531,7,0.24292682179832661,0.0005289832314289108,7,5581.0,0.0,7,1472.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov07_1200_pre_collapse,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,-1372.890414709691,5.898669487248103,7,0.36640539910046205,0.02532548755900685,7,0.05479334102248666,0.13174078510090828,7,0.49999996928,0.0,7,0.44520662825751334,0.1317407851009083,7,0.1409330491799238,0.004494374367668803,7,18.732189486938477,0.07680222843847295,7,-912.3699344369958,2.3783471480091314,7,1.0487010740655123,0.0027337323540334545,7,5388.0,0.0,7,870.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov08_0000_market_stress,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,1471.7836104851524,4.068692327094525,7,0.20308663868945206,0.007955505001693558,7,0.20417335026594663,0.1863096050073839,7,0.49999996928,0.0,7,0.2958266190140534,0.1863096050073839,7,0.18066471673494616,0.005204150898746406,7,18.151857319136177,0.10467345963139832,7,-1115.33900063941,34.8949007796998,7,1.2545995507754895,0.039251856895050403,7,8484.0,0.0,7,889.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov08_1600_peak,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,124038.3058084166,96.02544334643693,7,0.40331854922521776,0.014871406604253184,7,0.35355270230764296,1.4369836328209927e-06,7,0.4999993197714286,1.4201623279565831e-06,7,0.1464466174637856,1.6821304866151235e-08,7,0.11695268003598416,0.015210287134414803,7,19.06687552520924,0.23231156729378177,7,19140.905479072044,29.535751834000806,7,-2.0410434505301813,0.003149472364470038,7,52439.0,0.0,7,9378.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov09_0000_post_peak,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,19867.571274321926,3.3670938317017254,7,0.47375803222522056,0.0023601585326800214,7,0.005000004608,0.0,7,0.49999996928,0.0,7,0.494999964672,0.0,7,0.13603087523369634,0.001352499336557575,7,18.810726977848088,0.022145423574426833,7,3397.363180533797,4.641094810979847,7,-0.9397961771877723,0.0012838436544896472,7,17864.0,0.0,7,3615.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov10_1600_second_ftt_spike,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,46388.95408239728,10.267666829687203,7,0.4151485073828281,0.030288012619170912,7,0.005010318628571429,6.970268681027626e-06,7,0.4999312091428572,4.646845787352273e-05,7,0.4949208905142858,5.343872655453115e-05,7,0.037148864340014,0.006348959113834051,7,19.887188290697356,0.04240088751406597,7,13412.557829391235,9.352992365355975,7,-1.6984371064190495,0.0011843728460625277,7,26381.0,0.0,7,7897.0,0.0,7
binance_vision,ftx_k20_q99_minutes_nov11_1400_bankruptcy_sol_heavy,real_crypto_window_sweep,,Proposed,,,0,,,0,,,0,,,0,,,0,81262.71465888199,139.1598140823243,7,0.2826444918039256,0.002614447334167875,7,0.3535533595094066,0.0,7,0.49999996928,0.0,7,0.14644660977059343,0.0,7,0.036070550077386736,0.006677502313852588,7,19.898653588660668,0.04361404120762534,7,3749.602536976323,28.140362795633383,7,-0.9136458423431585,0.00685681354669432,7,37499.0,0.0,7,4104.0,0.0,7
